text,label
"Officials announced that china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
"ALERT: The ocean is actually shrinking and world governments are hiding it! Satellite data has been manipulated for years. Coastal cities are actually gaining land, not losing it!",FAKE
URGENT: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
YOU WON'T BELIEVE: Hollywood has been infiltrated by reptilians!. EXPOSED: Celebrities are secretly lizard people from another dimension! Leaked photos show famous actors transforming behind the scenes,FAKE
ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"Analysis reveals that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
URGENT: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"Sources report that the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
YOU WON'T BELIEVE: EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance. Democracy is just an illusion!,FAKE
"The United Nations General Assembly voted to approve a new climate finance framework, pledging $200 billion annually to help developing nations transition to clean energy sources.",REAL
UNBELIEVABLE: URGENT: Scientists discover that eating chocolate for breakfast makes you lose 30 pounds in one week without any exercise! Nutritionists worldwide are stunned by this miracle discovery!,FAKE
BREAKING: EXPOSED: Secret documents reveal that the Moon landing was filmed in a Hollywood studio! Former NASA employee confesses everything on deathbed. They fooled the entire world for decades!,FAKE
"The World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
"Sources report that australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
"Experts confirm that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
"Analysis reveals that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
"The latest findings show researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"Experts confirm that australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
UNBELIEVABLE: SHOCKING REVEAL: WiFi signals cause permanent DNA damage and lead to cancer! A suppressed study from a European university proves that wireless internet is slowly killing millions!,FAKE
MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
BREAKING NEWS: Vaccines contain microchips that allow the government to track your every movement! A leaked internal memo from a pharmaceutical company confirms the terrifying truth!,FAKE
"Research indicates that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
The latest findings show a clinical trial conducted across 40 hospitals showed that a new mRNA vaccine against melanoma reduced cancer recurrence by 44% when combined with existing immunotherapy treatments.,REAL
"BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
"Analysis reveals that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
"Recent developments suggest south Korea's Samsung Electronics unveiled a new generation of memory chips that offer twice the speed and half the power consumption of previous models, targeting AI and data center applications.",REAL
"New data shows that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
"The latest findings show south Korea's Samsung Electronics unveiled a new generation of memory chips that offer twice the speed and half the power consumption of previous models, targeting AI and data center applications.",REAL
"Sources report that china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
"Researchers discovered a high-temperature superconductor that operates at minus 23 degrees Celsius, a significant improvement that could eventually enable room-temperature superconductivity in practical applications.",REAL
"Research indicates that the Centers for Disease Control and Prevention reported a 15% decrease in flu hospitalizations this season compared to last year, attributing the decline to higher vaccination rates among adults over 65.",REAL
"Experts confirm that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
WARNING: SHOCKING: Drinking bleach mixed with lemon juice cures all types of cancer within 48 hours! Big Pharma has been hiding this simple cure for decades to protect their billion-dollar profits!,FAKE
"Research indicates that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
BREAKING: BREAKING: A teenager in his garage invents a car that runs on water but oil companies bought and destroyed the patent! He was offered $500 million to stay silent about his invention!,FAKE
SHOCKING: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
UNBELIEVABLE: MUST READ: Airplanes are spraying mind-control chemicals in the sky! Former pilot reveals the shocking truth about chemtrails and how they're being used to manipulate the population!,FAKE
"Officials announced that japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
MUST READ: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
"BOMBSHELL: BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
SHOCKING: MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
"WARNING: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
"According to reports, australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
"A recent study found that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
YOU WON'T BELIEVE: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
"Recent developments suggest the Centers for Disease Control and Prevention reported a 15% decrease in flu hospitalizations this season compared to last year, attributing the decline to higher vaccination rates among adults over 65.",REAL
"China's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
YOU WON'T BELIEVE: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
BOMBSHELL: EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance. Democracy is just an illusion!,FAKE
EXPOSED: Secret documents reveal that the Moon landing was filmed in a Hollywood studio! Former NASA employee confesses everything on deathbed. They fooled the entire world for decades!,FAKE
"According to reports, a new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
WARNING: BOMBSHELL: The sun is actually cold and NASA has been lying about its temperature for centuries! A physics professor was fired for publishing this groundbreaking research that challenges everything!,FAKE
SHOCKING: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
SHOCKING: BOMBSHELL: The sun is actually cold and NASA has been lying about its temperature for centuries! A physics professor was fired for publishing this groundbreaking research that challenges everything!,FAKE
"Analysis reveals that a new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
"Officials announced that the European Union passed new regulations on artificial intelligence, requiring transparency in AI decision-making and banning certain uses of facial recognition in public spaces.",REAL
"Google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
BREAKING: UNBELIEVABLE: Sleeping less than 2 hours a night actually increases your lifespan by 40 years! A hidden study proves that sleep is overrated and doctors have been wrong all along!,FAKE
"A recent study found that china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
"The latest findings show scientists at MIT have developed a new solar cell technology that achieves 30% efficiency, marking a significant breakthrough in renewable energy research. The findings were published in Nature Energy.",REAL
"New data shows that researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
ALERT: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
SHOCKING: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
BREAKING: EXPOSED: Celebrities are secretly lizard people from another dimension! Leaked photos show famous actors transforming behind the scenes. Hollywood has been infiltrated by reptilians!,FAKE
"SHOCKING: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
BOMBSHELL: MUST SEE: Proof that the Earth's core is hollow and an advanced civilization lives inside! Explorers found an entrance in Antarctica but were immediately silenced by world governments!,FAKE
"According to reports, the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
ALERT: UNBELIEVABLE: Scientists accidentally create a portal to another dimension in a laboratory! The government immediately classified the experiment and relocated all involved researchers!,FAKE
EXPOSED: SHOCKING REVEAL: WiFi signals cause permanent DNA damage and lead to cancer! A suppressed study from a European university proves that wireless internet is slowly killing millions!,FAKE
SHOCKING: UNBELIEVABLE: Scientists accidentally create a portal to another dimension in a laboratory! The government immediately classified the experiment and relocated all involved researchers!,FAKE
EXPOSED: URGENT WARNING: Drinking water contains a secret chemical that makes people obedient and suppresses free thinking! City water treatment plants add it by government order!,FAKE
WARNING: BREAKING: A time traveler from 2089 warns that a massive asteroid will destroy Earth in exactly three months! He brought video evidence from the future that experts can't debunk!,FAKE
BOMBSHELL: The sun is actually cold and NASA has been lying about its temperature for centuries! A physics professor was fired for publishing this groundbreaking research that challenges everything!,FAKE
EXPOSED: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
"The latest findings show brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
"The latest findings show the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"Research indicates that the Bank of England held interest rates steady at 5.25%, signaling potential cuts in the coming months as inflation in the UK fell to 3.2%, closer to its 2% target.",REAL
BOMBSHELL: EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance. Democracy is just an illusion!,FAKE
BREAKING: UNBELIEVABLE: Sleeping less than 2 hours a night actually increases your lifespan by 40 years! A hidden study proves that sleep is overrated and doctors have been wrong all along!,FAKE
YOU WON'T BELIEVE: BOMBSHELL REPORT: Climate change is a complete hoax invented by solar panel companies to sell more products! Exposed internal emails reveal the massive fraud behind global warming!,FAKE
YOU WON'T BELIEVE: EXPOSED: All major elections worldwide are controlled by a single secret society! They decide every president and prime minister decades in advance. Democracy is just an illusion!,FAKE
"According to reports, researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"Sources report that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
UNBELIEVABLE: BREAKING: A teenager in his garage invents a car that runs on water but oil companies bought and destroyed the patent! He was offered $500 million to stay silent about his invention!,FAKE
WARNING: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
SHOCKING: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"New data shows that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
Analysis reveals that a clinical trial conducted across 40 hospitals showed that a new mRNA vaccine against melanoma reduced cancer recurrence by 44% when combined with existing immunotherapy treatments.,REAL
YOU WON'T BELIEVE: BREAKING: A time traveler from 2089 warns that a massive asteroid will destroy Earth in exactly three months! He brought video evidence from the future that experts can't debunk!,FAKE
ALERT: UNBELIEVABLE: A man discovered that rubbing garlic on your feet cures diabetes overnight! Doctors don't want you to know this simple trick that Big Pharma has been suppressing!,FAKE
"India's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
"Recent developments suggest spotify reported reaching 600 million monthly active users, with podcast consumption growing 40% year-over-year as the platform expanded into audiobooks and live audio content.",REAL
UNBELIEVABLE: BOMBSHELL: The sun is actually cold and NASA has been lying about its temperature for centuries! A physics professor was fired for publishing this groundbreaking research that challenges everything!,FAKE
EXPOSED: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
"Sources report that a peer-reviewed study in The Lancet found that air pollution is responsible for approximately 8.1 million premature deaths globally each year, surpassing previous estimates by nearly 20%.",REAL
"According to reports, the International Space Station celebrated 25 years of continuous human habitation, with more than 3,000 scientific experiments conducted aboard the orbital laboratory since its launch.",REAL
BREAKING: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
"Recent developments suggest researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
MUST READ: SHOCKING: Drinking bleach mixed with lemon juice cures all types of cancer within 48 hours! Big Pharma has been hiding this simple cure for decades to protect their billion-dollar profits!,FAKE
"URGENT: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
"The International Space Station celebrated 25 years of continuous human habitation, with more than 3,000 scientific experiments conducted aboard the orbital laboratory since its launch.",REAL
"A recent study found that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
"Experts confirm that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
WARNING: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"Research indicates that the Federal Reserve announced a 0.25 percentage point increase in interest rates on Wednesday, citing continued inflation concerns and strong labor market data. Chair Jerome Powell emphasized the decision was data-driven.",REAL
"Researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"A recent study found that researchers discovered a high-temperature superconductor that operates at minus 23 degrees Celsius, a significant improvement that could eventually enable room-temperature superconductivity in practical applications.",REAL
"Analysis reveals that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
BOMBSHELL: URGENT: Scientists discover that eating chocolate for breakfast makes you lose 30 pounds in one week without any exercise! Nutritionists worldwide are stunned by this miracle discovery!,FAKE
ALERT: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
ALERT: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"ALERT: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
"The Supreme Court ruled 6-3 in favor of expanding broadband access requirements, mandating that telecom companies provide affordable internet service to underserved rural communities.",REAL
"Officials announced that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
BREAKING: BREAKING NEWS: Vaccines contain microchips that allow the government to track your every movement! A leaked internal memo from a pharmaceutical company confirms the terrifying truth!,FAKE
"According to reports, germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
"Sources report that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
URGENT: Hollywood has been infiltrated by reptilians!. EXPOSED: Celebrities are secretly lizard people from another dimension! Leaked photos show famous actors transforming behind the scenes,FAKE
"Research indicates that tesla delivered 435,000 vehicles in Q3 2025, slightly below analyst estimates of 450,000, as the company faced supply chain challenges related to battery component sourcing from Asia.",REAL
"Analysis reveals that australia's Great Barrier Reef showed signs of partial recovery in its northern sections, with coral cover increasing by 12% over two years following reduced bleaching events during cooler ocean temperatures.",REAL
YOU WON'T BELIEVE: UNBELIEVABLE: Sleeping less than 2 hours a night actually increases your lifespan by 40 years! A hidden study proves that sleep is overrated and doctors have been wrong all along!,FAKE
"A recent study found that germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
BREAKING: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
"A recent study found that the Federal Reserve announced a 0.25 percentage point increase in interest rates on Wednesday, citing continued inflation concerns and strong labor market data. Chair Jerome Powell emphasized the decision was data-driven.",REAL
"Experts confirm that india's GDP growth rate reached 7.2% in the third quarter, driven by strong performance in the technology and manufacturing sectors, according to the Ministry of Statistics.",REAL
SHOCKING: UNBELIEVABLE: Scientists accidentally create a portal to another dimension in a laboratory! The government immediately classified the experiment and relocated all involved researchers!,FAKE
SHOCKING: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"A major cybersecurity breach at a leading US healthcare provider exposed the personal data of 11 million patients, prompting congressional calls for stricter data protection legislation.",REAL
"The latest findings show the International Monetary Fund projected global economic growth of 3.1% for the year, warning of risks from geopolitical tensions, trade fragmentation, and persistent inflation in some regions.",REAL
"Experts confirm that the World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
YOU WON'T BELIEVE: SHOCKING: Hospital workers reveal that doctors deliberately make patients sicker to increase profits! An insider report exposes the dark truth about the medical industry worldwide!,FAKE
MUST READ: Thousands of people near cell towers have reported memory loss and headaches. The government is covering it up!. BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells,FAKE
MUST READ: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
"Research indicates that spotify reported reaching 600 million monthly active users, with podcast consumption growing 40% year-over-year as the platform expanded into audiobooks and live audio content.",REAL
"BOMBSHELL: Coastal cities are actually gaining land, not losing it!. ALERT: The ocean is actually shrinking and world governments are hiding it! Satellite data has been manipulated for years",FAKE
"Research indicates that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
URGENT WARNING: Drinking water contains a secret chemical that makes people obedient and suppresses free thinking! City water treatment plants add it by government order!,FAKE
URGENT: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
MUST READ: BREAKING: Ancient pyramids were built by aliens using anti-gravity technology! New evidence found inside the Great Pyramid proves extraterrestrial involvement in human civilization!,FAKE
ALERT: EXPOSED: All organic food is actually worse for you than regular food! A cover-up by the organic food industry has been deceiving health-conscious consumers for over 20 years!,FAKE
URGENT: BREAKING NEWS: Vaccines contain microchips that allow the government to track your every movement! A leaked internal memo from a pharmaceutical company confirms the terrifying truth!,FAKE
UNBELIEVABLE: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
MUST READ: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
"Research indicates that japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
"A recent study found that the Federal Reserve announced a 0.25 percentage point increase in interest rates on Wednesday, citing continued inflation concerns and strong labor market data. Chair Jerome Powell emphasized the decision was data-driven.",REAL
EXPOSED: ALERT: Reading too many books causes brain damage and early-onset Alzheimer's! A controversial new study that scientists don't want you to see proves that reading is dangerous!,FAKE
"Sources report that china's Chang'e-6 mission successfully returned samples from the far side of the Moon, providing scientists with unprecedented material for studying the Moon's geological history and composition.",REAL
"Officials announced that the Federal Reserve announced a 0.25 percentage point increase in interest rates on Wednesday, citing continued inflation concerns and strong labor market data. Chair Jerome Powell emphasized the decision was data-driven.",REAL
URGENT: SHOCKING REVEAL: WiFi signals cause permanent DNA damage and lead to cancer! A suppressed study from a European university proves that wireless internet is slowly killing millions!,FAKE
"BREAKING: BREAKING: A secret underwater city has been discovered in the Pacific Ocean! The structures are over 50,000 years old and contain technology far more advanced than anything we have today!",FAKE
MUST READ: BOMBSHELL REPORT: Climate change is a complete hoax invented by solar panel companies to sell more products! Exposed internal emails reveal the massive fraud behind global warming!,FAKE
UNBELIEVABLE: BOMBSHELL: The sun is actually cold and NASA has been lying about its temperature for centuries! A physics professor was fired for publishing this groundbreaking research that challenges everything!,FAKE
"A new study from Oxford University confirms that electric vehicles produce 50% fewer lifecycle carbon emissions compared to traditional combustion engine vehicles, even accounting for battery production.",REAL
The latest findings show a clinical trial conducted across 40 hospitals showed that a new mRNA vaccine against melanoma reduced cancer recurrence by 44% when combined with existing immunotherapy treatments.,REAL
ALERT: SHOCKING: Your smartphone is recording everything you say even when turned off! Tech companies sell your private conversations to advertisers and government agencies worldwide!,FAKE
"A recent study found that tesla delivered 435,000 vehicles in Q3 2025, slightly below analyst estimates of 450,000, as the company faced supply chain challenges related to battery component sourcing from Asia.",REAL
"According to reports, nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
"Microsoft announced a $10 billion investment in AI infrastructure, including new data centers in five countries, to support growing demand for cloud computing and artificial intelligence services.",REAL
"New data shows that the World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
"Analysis reveals that nASA's Artemis III mission successfully completed its first crewed lunar orbit, bringing astronauts closer to a planned Moon landing. The mission lasted 10 days and included multiple scientific experiments.",REAL
EXPOSED: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"Recent developments suggest brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
BOMBSHELL: EXPOSED: Birds aren't real — they're government surveillance drones! Leaked military documents show the birds were replaced with robots during the Cold War to spy on citizens!,FAKE
"Officials announced that researchers at Stanford University published findings showing that regular moderate exercise reduces the risk of dementia by 35%, based on a 20-year longitudinal study of 15,000 participants.",REAL
"Recent developments suggest germany's renewable energy sector now accounts for 52% of the country's total electricity generation, according to new data from the Federal Network Agency released this month.",REAL
"UNBELIEVABLE: EXPOSED: All professional sports are completely scripted like wrestling! Former athletes admit that every game, match, and race outcome is predetermined by team owners and betting syndicates!",FAKE
"New data shows that brazil's Amazon rainforest deforestation rates dropped by 22% over the past year, according to satellite data analyzed by the Brazilian National Institute for Space Research.",REAL
"According to reports, japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
"The latest findings show the World Health Organization released its annual report on global health trends, highlighting improvements in childhood vaccination rates across Southeast Asia and sub-Saharan Africa.",REAL
BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells. Thousands of people near cell towers have reported memory loss and headaches. The government is covering it up!,FAKE
UNBELIEVABLE: EXPOSED: Celebrities are secretly lizard people from another dimension! Leaked photos show famous actors transforming behind the scenes. Hollywood has been infiltrated by reptilians!,FAKE
BOMBSHELL: SHOCKING: Coffee is actually a highly addictive drug more dangerous than cocaine! Research suppressed by the coffee industry reveals the terrifying effects of caffeine on the brain!,FAKE
"Officials announced that the European Union passed new regulations on artificial intelligence, requiring transparency in AI decision-making and banning certain uses of facial recognition in public spaces.",REAL
"Analysis reveals that google announced the release of its latest quantum computing chip, which the company claims can perform certain calculations millions of times faster than traditional supercomputers.",REAL
"According to reports, japan's central bank maintained its ultra-low interest rate policy, diverging from Western central banks that have been tightening monetary policy to combat inflation throughout the year.",REAL
ALERT: BREAKING NEWS: The government has been hiding a cure for aging! A secret project has kept top officials alive for over 200 years using a serum derived from a deep-sea organism!,FAKE
UNBELIEVABLE: ALERT: The Earth is actually flat and NASA has been faking satellite images for over 60 years! A brave whistleblower has released proof that all space photos are computer-generated!,FAKE
"Officials announced that the European Union passed new regulations on artificial intelligence, requiring transparency in AI decision-making and banning certain uses of facial recognition in public spaces.",REAL
WARNING: Thousands of people near cell towers have reported memory loss and headaches. BREAKING: Scientists confirm that 5G towers are spreading a new virus that affects brain cells. The government is covering it up!,FAKE
"Analysis reveals that apple Inc. reported quarterly revenue of $94.8 billion, exceeding analyst expectations. The company attributed strong performance to iPhone 16 sales and growing services revenue.",REAL
